,network,station,NOP,RMSE_RF,ubRMSE_RF,r_RF,LC,Climate,RMSE_cci,ubRMSE_cci,r_cci
OZNET_Weeroona.csv,OZNET,Weeroona,,0.04177932054467845,0.039626571402877446,0.8024210121976856,130.0,Cfb,0.058914302771966506,0.04517053294197266,0.7534560773089946
OZNET_West-Wyalong-Airfield.csv,OZNET,West-Wyalong-Airfield,,0.03768771386009057,0.03026859868664802,0.8231308724673116,120.0,Cfa,0.04949300236487083,0.0345817965657721,0.770907287915449
OZNET_Widgiewa.csv,OZNET,Widgiewa,,0.047829136410047865,0.041068359554549426,0.8115802721939244,10.0,BSk,0.05332839923145574,0.03179296394048065,0.7731783459407267
OZNET_Wollumbi.csv,OZNET,Wollumbi,,0.059466970424050886,0.05876464650941693,0.8080070974943401,120.0,Cfa,0.10984346129137455,0.07749692341936919,0.6894124787802888
OZNET_Wynella.csv,OZNET,Wynella,,0.06467013474901961,0.0637747513290926,0.6319881480145138,10.0,BSk,0.07963744855582079,0.06158444412586996,0.6522424723522686
OZNET_Yamma-Road.csv,OZNET,Yamma-Road,,0.04937244960520685,0.037964249659551495,0.8460989650149293,120.0,BSk,0.05311839685024722,0.044183223128869104,0.7910904053549445
OZNET_Yammacoona.csv,OZNET,Yammacoona,,0.06864063176172949,0.04827947432259868,0.8189891156876916,40.0,BSk,0.054476805827175574,0.05441830891611068,0.8009499651572879
OZNET_Yanco-Research-Station.csv,OZNET,Yanco-Research-Station,,0.02923380519533859,0.026628208959194127,0.840260254935217,40.0,BSk,0.08257304858880804,0.027228809737621096,0.8461336044710304
PBO-H2O_AKRONARPT.csv,PBO-H2O,AKRONARPT,,0.12284256362619127,0.0666245928707994,0.6360735906281915,130.0,BSk,0.10139012819795144,0.06910633447505633,0.6557141182729286
PBO-H2O_ALKALILAKE.csv,PBO-H2O,ALKALILAKE,,0.04334583756254816,0.04160131676255593,0.8251327547906001,120.0,BWk,0.06153754849424278,0.044504024156785275,0.7831483710883582
PBO-H2O_ANGELFIRE.csv,PBO-H2O,ANGELFIRE,,0.11037815969308244,0.10689413971465252,0.5365359217328343,130.0,Dfb,0.12586330767409754,0.12215863711527158,0.30263639048674723
PBO-H2O_ANGUS-PROP.csv,PBO-H2O,ANGUS-PROP,,0.025725048795596624,0.021117833571677333,0.5991950490811864,120.0,BWh,0.036492295620744186,0.029825985213548897,0.5377213436162982
PBO-H2O_ANTIMONYFL.csv,PBO-H2O,ANTIMONYFL,,0.03215966776055037,0.03125747122780851,0.6601449678648794,120.0,BWh,0.049376928475919006,0.04472613283011852,0.358356788473102
PBO-H2O_ARKANSACRK.csv,PBO-H2O,ARKANSACRK,,0.03808458976332473,0.03198690123560874,0.9313917533376269,130.0,BSk,0.045572021925036094,0.045379951030862974,0.7376687674973212
PBO-H2O_ARMINGTON.csv,PBO-H2O,ARMINGTON,,0.04215935121146466,0.04215926332869894,0.8556110074812145,130.0,BSk,0.07151256739931208,0.05761535178710039,0.7022364442495429
PBO-H2O_ATOMICCITY.csv,PBO-H2O,ATOMICCITY,,0.0376276228765536,0.035079260655646725,0.7326840102074087,120.0,BSk,0.060517148830726265,0.03754354456563434,0.7076517088337275
PBO-H2O_AUBREYPEAK.csv,PBO-H2O,AUBREYPEAK,,0.04550218781696287,0.04307945810001538,0.3964472481777829,120.0,BSk,0.06723051337309605,0.04979876158309251,0.16839213422456176
PBO-H2O_AVILARANCH.csv,PBO-H2O,AVILARANCH,,0.038933145696834696,0.029458700108385878,0.883477602098931,130.0,Csa,0.048797721476209754,0.04499820675808212,0.6969389351992895
PBO-H2O_BAKERCITY.csv,PBO-H2O,BAKERCITY,,0.041830800747345416,0.04070546262864919,0.7121749320012739,130.0,BSk,0.05732744214638287,0.042606971705979525,0.6765706263730455
PBO-H2O_BANDONARPT.csv,PBO-H2O,BANDONARPT,,0.056749379843581194,0.056557323003111754,0.8936199291613622,130.0,Csb,0.15260167583585857,0.11289162750270341,0.3355456734237403
PBO-H2O_Bethlehem.csv,PBO-H2O,Bethlehem,,0.05468755392409259,0.03596953991202813,0.9235631261595719,10.0,Cwa,0.06366677434865338,0.04939197278138135,0.9071631453793675
PBO-H2O_BILLINGSAP.csv,PBO-H2O,BILLINGSAP,,0.039386648415072244,0.036923846587084,0.6084677330722345,120.0,Dfa,0.13900487087288252,0.03473159341238925,0.6906776584347849
PBO-H2O_BIRCHIMCYN.csv,PBO-H2O,BIRCHIMCYN,,0.022010297615773108,0.014795616751879659,0.25187375973145865,120.0,Csa,0.044594329630545264,0.035573058295224204,0.08261321965386849
PBO-H2O_BITTERWATR.csv,PBO-H2O,BITTERWATR,,0.04795290443624216,0.045415494110576334,0.8439771903039729,130.0,BSk,0.05927284693950044,0.05780312561749534,0.760824914936422
PBO-H2O_BKAP-SCGN.csv,PBO-H2O,BKAP-SCGN,,0.024688907524068698,0.023961086145996496,0.6234220307263612,120.0,BWh,0.04106104384339697,0.030599517246475184,0.591229785248474
PBO-H2O_BLACKROCK.csv,PBO-H2O,BLACKROCK,,0.05540963062963499,0.047927499943034475,0.2672969993875487,120.0,BSk,0.046713535718571265,0.044612306032914426,0.26506829996764214
PBO-H2O_BLINDSPRIN.csv,PBO-H2O,BLINDSPRIN,,0.018102134289516084,0.01794342461881079,0.40354826188155973,120.0,BSk,0.06340579058587331,0.035133428843141926,-0.01281441880889733
PBO-H2O_BROTHERSDT.csv,PBO-H2O,BROTHERSDT,,0.034019182038585234,0.033744029097406654,0.622633497096299,120.0,BWk,0.09595598304404532,0.036290582557781725,0.5841321275332255
PBO-H2O_BUCKLEYFLT.csv,PBO-H2O,BUCKLEYFLT,,0.04545545545819478,0.045450322377595574,0.11930374873511335,120.0,BWk,0.06446774064453285,0.042021011599251354,0.447215503681845
PBO-H2O_BUCKSKINMT.csv,PBO-H2O,BUCKSKINMT,,0.029500870865302196,0.028764006732686705,0.6880552642922899,120.0,BSk,0.04997806189652829,0.02515690046855034,0.7696415000319179
PBO-H2O_BUTTERBRED.csv,PBO-H2O,BUTTERBRED,,0.023666284840714275,0.0228484610418516,0.596349534211734,120.0,BWh,0.051620344602073466,0.046531793427623244,0.20294620767686225
